====================================================
 ZONEAMENTO CLIMÁTICO – CERCOSPORIOSE (AMENDOIM)
 Estado: São Paulo (SP)
 Período: Ano completo (Jan–Dez)
 Classes finais: 1=Alta | 2=Moderada | 3=Baixa
 ====================================================

Normal: 2011_2040 | Cenário: SSP126 
 % Alta: 67.01 | % Moderada: 25.28 | % Baixa: 7.71 

Normal: 2011_2040 | Cenário: SSP370 
 % Alta: 68.26 | % Moderada: 24.62 | % Baixa: 7.11 

Normal: 2011_2040 | Cenário: SSP585 
 % Alta: 68.37 | % Moderada: 24.61 | % Baixa: 7.02 

Normal: 2041_2070 | Cenário: SSP126 
 % Alta: 72.47 | % Moderada: 22.84 | % Baixa: 4.69 

Normal: 2041_2070 | Cenário: SSP370 
 % Alta: 78.58 | % Moderada: 18.81 | % Baixa: 2.61 

Normal: 2041_2070 | Cenário: SSP585 
 % Alta: 81.16 | % Moderada: 17.1 | % Baixa: 1.74 

Normal: 2071_2100 | Cenário: SSP126 
 % Alta: 71.16 | % Moderada: 23.95 | % Baixa: 4.89 

Normal: 2071_2100 | Cenário: SSP370 
 % Alta: 66.3 | % Moderada: 33.08 | % Baixa: 0.62 

Normal: 2071_2100 | Cenário: SSP585 
 % Alta: 46.72 | % Moderada: 50.14 | % Baixa: 3.14 

